tot_emd,to_ga_001,to_ga_002,ga_sd_001,ga_sd_002,ga_sd_003,ga_sd_004,ga_sd_005,ga_sd_006,ga_sd_999
31091760,15361,2.14,1963,6037,375,0,6457,424,0
31091770,11503,2.69,1737,6489,510,0,2565,76,0
31091780,6724,2.94,905,3484,324,0,1892,48,0
31092590,16128,2.37,2071,7571,613,0,5569,158,0
31092660,7886,2.65,1117,4333,266,0,2021,88,0
31092661,9630,2.61,1517,4820,384,0,2678,149,0
31092680,5061,2.12,818,2159,97,0,1768,181,0
31092690,8026,2.16,1113,3452,212,0,3004,166,0
31092700,13970,2.48,2060,7325,461,0,3782,216,0
31092720,3592,2.18,1229,1008,148,0,1107,80,0
31092730,11373,2.76,1523,6671,462,0,2517,92,0
31092731,3887,3.17,606,2747,173,0,316,11,0
31092740,9235,2.31,1317,4292,326,0,3083,140,0
31092750,10322,2.43,1521,4990,235,0,3289,193,0
31092760,3445,1.74,719,775,68,0,1664,209,0
31092770,9315,2.34,1361,4322,330,0,3109,87,0
31092780,6318,2.8,1142,3734,361,0,937,78,0
31101510,6225,2.33,1060,2818,295,0,1850,155,0
31101520,8844,2.55,1594,4809,315,0,1997,23,0
31101530,16810,2.47,2984,8551,589,0,4431,97,0
31101540,8373,2.46,1470,3963,428,0,2284,178,0
31101550,4226,2.6,800,2233,242,0,875,38,0
31101560,1569,1.93,451,393,41,0,655,25,0
31101580,7404,2.45,1577,3536,261,0,1839,139,0
31101590,11211,2.61,2096,5685,658,0,2538,164,0
31101600,13690,2.52,2801,6524,725,0,3235,305,0
31101610,5823,2.54,1124,2771,372,0,1428,79,0
31101620,14219,2.51,2352,7039,733,0,3734,230,0
31101630,11715,2.71,1955,6965,411,0,2154,131,0
31101640,8506,2.18,1289,3399,346,0,3151,280,0
31101650,7981,2.69,1402,4511,372,0,1564,49,0
31101660,12059,2.55,2199,6309,514,0,2801,102,0
31101670,7144,2.41,1299,3445,226,0,2012,102,0
31101680,947,2.94,208,313,44,0,336,44,0
31101690,17384,2.53,2704,9217,744,0,4339,216,0
31101700,8750,2.3,1736,3809,314,0,2673,153,0
31103510,10676,3,1599,6605,740,0,1549,67,0
31103520,16812,2.66,2917,9371,840,0,3422,80,0
31103530,9258,2.42,1482,4387,540,0,2742,23,0
31103540,13350,2.76,2171,7815,770,0,2417,65,0
31103550,11821,2.44,1928,6170,355,0,3118,136,0
31103560,8122,2.8,1230,4906,456,0,1458,10,0
31103570,5355,2.82,861,3196,346,0,880,36,0
31103580,2737,2.49,571,1378,93,0,641,21,0
31103590,12768,1.93,1861,3611,268,0,6085,890,0
31103600,8226,2.51,1758,3651,418,0,2162,191,0
31103610,10073,1.92,1432,3147,256,0,4738,432,0
31104510,9233,2.84,1648,5591,623,0,1222,50,0
31104520,6986,2.56,1212,3554,371,0,1674,116,0
31104530,11323,2.96,1658,7923,475,0,1147,0,0
31104540,17921,2.74,2888,10443,926,0,3389,125,0
31104550,9716,2.67,1768,5593,416,0,1792,64,0
31104560,10577,2.56,1802,5755,419,0,2392,95,0
31104570,13719,2.34,2103,6365,535,0,4437,187,0
31104580,7169,2.7,1394,4082,351,0,1211,79,0
31104590,16299,2.87,2785,9760,1098,0,2411,118,0
31110510,2129,2.83,390,1238,116,0,346,10,0
31110520,3164,3.12,535,2135,210,0,240,10,0
31110530,3410,2.83,577,2045,218,0,527,11,0
31110540,3864,2.77,713,2328,160,0,600,22,0
31110550,3691,2.34,709,1520,158,0,1197,81,0
31110560,2643,2.77,410,1442,195,0,553,16,0
31120510,11199,2.64,1975,6318,397,0,2329,90,0
31120520,12729,2.87,2201,7813,784,0,1790,57,0
31120530,8134,2.74,1360,4636,494,0,1500,98,0
31120540,6878,2.2,1149,2725,289,0,2537,120,0
31120550,7306,2.87,1243,4613,388,0,975,13,0
31120560,8055,2.25,1302,3506,256,0,2772,130,0
31120570,9352,2.42,1442,4574,443,0,2708,98,0
31120580,8321,2.51,1345,4289,284,0,2191,138,0
31130110,21466,2.8,4128,12271,1385,0,3363,161,0
31130120,9285,2.81,1588,5371,553,0,1663,36,0
31130121,23434,2.67,4355,12604,1258,0,4802,235,0
31130130,29004,2.63,5206,15341,1561,0,6255,389,0
31130131,11869,2.6,2250,6238,557,0,2531,183,0
31130140,9321,2.48,1841,4419,511,0,2349,131,0
31130150,18596,2.72,3229,10368,1016,0,3635,177,0
31130160,10503,2.7,2119,5833,598,0,1766,105,0
31130310,7018,2.64,1323,3581,471,0,1522,70,0
31130340,3346,2.84,1008,1106,172,0,931,109,0
31130350,1484,2.51,410,579,141,0,321,13,0
31130510,17008,2.81,2740,9966,1011,0,3045,94,0
31130520,11159,2.94,1629,6838,734,0,1782,77,0
31130530,7515,2.44,1492,3580,349,0,1915,118,0
31130540,1929,2.13,455,594,99,0,727,43,0
31130570,26010,2.53,4416,13372,1080,0,6752,143,0
31130580,23951,2.89,4240,14416,1567,0,3391,78,0
31130590,10904,2.69,1824,6286,537,0,2067,87,0
31140510,11969,2.65,1977,6581,511,0,2593,191,0
31140520,24199,2.52,3415,12321,884,0,6935,422,0
31140530,11240,1.75,1167,2320,168,0,6794,737,0
31140540,22389,2.57,3471,12084,900,0,5436,295,0
31140550,10977,2.64,1885,5542,380,0,2928,112,0
31140560,6377,2.41,985,3080,193,0,1973,91,0
